episode,total_steps,reward,accuracy,satisfaction,actor_loss,critic_loss
1,35,33.616726,0.34285714285714286,0.08016959540619308,0.0,0.0
2,53,18.375183,0.3333333333333333,0.06048303958848865,0.0,0.0
3,59,4.056486,0.6666666666666666,0.16204517019076026,0.0,0.0
4,98,40.80808,0.5384615384615384,0.06999371849259975,0.0,0.0
5,124,28.595343,0.7307692307692307,-0.05,0.0,0.0
6,130,3.6390696,0.16666666666666666,-0.022666725818201297,0.0,0.0
7,139,9.318886,0.4444444444444444,-0.016186451459766396,0.0,0.0
8,147,5.5809393,0.875,0.1363021205934911,0.0,0.0
9,168,18.407385,0.47619047619047616,0.1263665052990407,0.0,0.0
10,177,6.5604305,0.4444444444444444,-0.033933308244945976,0.0,0.0
11,181,1.6071707,0.5,0.16882534469893445,0.0,0.0
12,202,22.695744,0.6666666666666666,0.1394599803290104,0.0,0.0
13,209,5.720394,0.5714285714285714,0.14261997554331907,0.0,0.0
14,216,4.307675,0.42857142857142855,0.1908653137620604,0.0,0.0
15,229,11.124178,0.38461538461538464,0.08883863419422239,0.0,0.0
16,232,0.813113,0.6666666666666666,0.24071731510285838,0.0,0.0
17,238,4.1288757,0.5,0.12344629051386379,0.0,0.0
18,274,37.39598,0.5,0.1584248573181231,0.0,0.0
19,281,4.901519,0.42857142857142855,0.2619570335461649,0.0,0.0
20,304,22.992352,0.21739130434782608,-0.05,0.0,0.0
21,318,12.672842,0.42857142857142855,0.11323751488735265,0.0,0.0
22,348,30.90141,0.5,0.1498083111038101,0.0,0.0
23,372,20.041702,0.4166666666666667,0.0035326683824916383,0.0,0.0
24,379,5.844459,0.2857142857142857,0.2776118396959012,0.0,0.0
25,405,25.291672,0.4230769230769231,0.1509586441869954,0.0,0.0
26,426,21.290937,0.5714285714285714,-0.05,0.0,0.0
27,440,13.489103,0.35714285714285715,0.1456417561654179,0.0,0.0
28,447,4.558578,0.42857142857142855,0.2671452656843939,0.0,0.0
29,463,15.233275,0.4375,-0.02835151552877902,0.0,0.0
30,470,5.2628613,0.5714285714285714,0.2819697449001025,0.0,0.0
31,481,10.038282,0.36363636363636365,0.08715121854733597,0.0,0.0
32,492,10.363259,0.45454545454545453,0.13931674877037614,0.0,0.0
33,502,8.031569,0.6,0.07629102524650573,0.0,0.0
34,529,25.764093,0.48148148148148145,0.09447812628976247,0.0,0.0
35,557,32.664555,0.5357142857142857,0.23757679661013442,0.0,0.0
36,613,60.42825,0.4642857142857143,0.0803348942465318,0.0,0.0
37,622,8.250994,0.5555555555555556,-0.05,0.0,0.0
38,649,25.028625,0.37037037037037035,0.011705330545898063,0.0,0.0
39,662,12.613447,0.5384615384615384,0.07725279359439481,0.0,0.0
40,679,17.716206,0.47058823529411764,-0.05,0.0,0.0
41,689,10.4563,0.7,0.15,0.0,0.0
42,693,2.2933645,0.25,0.2528328400533221,0.0,0.0
43,705,11.693217,0.3333333333333333,-0.05,0.0,0.0
44,721,13.679863,0.25,-0.03497309480984381,0.0,0.0
45,733,11.170807,0.6666666666666666,0.1330936844523472,0.0,0.0
46,767,36.067577,0.5294117647058824,0.04660332803550442,0.0,0.0
47,786,19.87261,0.42105263157894735,0.059641774751857196,0.0,0.0
48,807,17.469667,0.19047619047619047,0.08624456833115866,0.0,0.0
49,850,42.124763,0.4186046511627907,0.11896913299459295,0.0,0.0
50,855,2.338729,0.2,0.0029766460929396416,0.0,0.0
51,891,36.460518,0.6111111111111112,-0.05,0.0,0.0
52,921,31.355509,0.4666666666666667,0.1874630964866419,0.0,0.0
53,929,6.2892017,0.375,0.12651099871946686,0.0,0.0
54,936,3.8907042,0.2857142857142857,0.13021706151127588,0.0,0.0
55,947,9.041348,0.45454545454545453,0.1505385662430485,0.0,0.0
56,1013,66.68945,0.5,0.0961382573572258,-5.276729575225285,66.12815298352923
57,1038,25.475752,0.4,0.1743298953553783,-9.458340396881104,23.351723709106444
58,1043,2.6133876,0.2,0.17747934512468583,-10.59219150543213,9.58863697052002
59,1059,14.024317,0.375,0.09461814300269401,-11.217765152454376,7.364043414592743
60,1072,11.643443,0.5384615384615384,0.04078790444767011,-11.470210882333609,6.32313581613394
61,1082,8.755888,0.5,-0.05,-11.626858234405518,5.656959915161133
62,1096,13.598095,0.42857142857142855,0.08898162686666493,-11.706856387002128,6.115185499191284
63,1124,31.467777,0.5,0.2797448270584022,-11.949461460113525,5.651655946459089
64,1143,20.948208,0.5263157894736842,0.06994431024742702,-12.205995559692383,5.4784951962922745
65,1150,5.9945173,0.5714285714285714,0.17552844991552163,-12.30896282196045,5.509960310799735
66,1189,38.960022,0.38461538461538464,-0.05,-12.65819141192314,5.555914988884559
67,1202,13.092331,0.6923076923076923,0.1726026667937443,-12.972284390376164,5.718204021453857
68,1229,26.406113,0.37037037037037035,0.15756321191460027,-13.33617404655174,5.964475569901643
69,1254,20.854588,0.44,-0.01746637278899607,-13.795748291015625,6.024832353591919
70,1285,26.583742,0.6129032258064516,0.1614980138116951,-14.255884539696478,5.34370889202241
71,1348,56.56778,0.49206349206349204,-0.05,-15.190115171765525,6.129946428631979
72,1367,15.595679,0.3157894736842105,0.02492874631224111,-16.10810465561716,6.327516957333214
73,1380,10.016735,0.38461538461538464,-0.014803393213251553,-16.454748667203464,6.46752562889686
74,1389,6.524541,0.2222222222222222,0.09335503955323844,-16.844199498494465,7.288395298851861
75,1402,11.094572,0.6153846153846154,0.15016462791927948,-17.251877711369442,6.541477533487173
76,1459,57.355015,0.38596491228070173,0.059469008873291276,-18.08746856555604,7.2440212902269865
77,1490,32.548676,0.6774193548387096,0.04405086780927646,-19.499536514282227,7.7090310281322845
78,1502,10.195025,0.6666666666666666,0.1194062819655851,-20.04445966084798,7.960182865460713
79,1505,1.036464,0.0,0.17116927294256262,-20.55866241455078,10.59854253133138
80,1526,19.21561,0.47619047619047616,0.12677662653944605,-20.766529991513206,8.84824564343407
81,1549,21.592089,0.6086956521739131,0.19524216440134412,-21.265058600384258,9.11434268951416
82,1559,7.657313,0.5,-0.022881362592018298,-21.88867301940918,10.342649555206298
83,1593,30.757221,0.6470588235294118,0.16985503322680495,-23.01799000010771,10.01013733358944
84,1600,5.711617,0.5714285714285714,0.06537457522425744,-23.625723702566965,10.61981269291469
85,1628,26.58084,0.39285714285714285,-0.05,-24.275198732103622,9.447921446391515
86,1631,2.3510983,0.6666666666666666,0.159551975398444,-25.08125114440918,11.837058385213217
87,1649,16.560413,0.5,-0.007962747460545275,-25.190494431389702,11.517799006568062
